,Company,Inches,ScreenResolution,CpuVenderName,CpuType,CpuSpeed,Ram,Memory,GpuName,OpSys,Weight,Price_euros
247,2,17.3,8,1,67,2.9,16.0,18,3,6,3.6,2999.0
248,7,13.3,15,1,53,1.6,4.0,11,2,6,1.49,675.0
249,1,13.3,23,1,40,3.1,8.0,27,2,8,1.37,2040.0
250,4,15.6,13,1,70,1.8,8.0,15,2,6,2.08,819.0
251,2,17.3,8,1,66,2.8,16.0,24,3,6,4.3,1799.0
252,2,15.6,0,0,11,3.0,4.0,15,0,6,1.68,469.0
253,10,13.9,13,1,70,1.8,8.0,27,2,6,1.37,1849.0
254,0,17.3,15,1,39,2.7,4.0,18,3,6,3.0,702.0
255,4,13.3,8,1,53,1.6,8.0,18,2,6,1.41,949.0
256,7,15.6,0,0,8,2.5,8.0,10,0,6,1.91,445.9
257,7,17.3,15,1,70,1.8,16.0,15,3,6,2.9,1059.0
258,11,17.3,8,1,66,2.8,16.0,31,3,6,4.14,2499.0
259,10,15.6,13,1,66,2.8,8.0,27,3,6,2.0,1699.0
260,4,17.3,8,1,70,1.8,8.0,20,0,6,2.8,1142.0
261,10,15.6,8,1,36,2.0,4.0,18,2,0,2.2,444.0
262,7,15.6,15,1,53,1.6,4.0,11,2,6,2.1,722.0
263,4,15.6,8,1,46,2.5,4.0,15,2,6,2.18,657.0
264,4,15.6,8,1,46,2.5,8.0,15,0,6,2.24,565.0
265,4,15.6,7,1,53,1.6,8.0,18,2,6,2.67,799.0
266,2,13.3,7,1,70,1.8,8.0,35,2,6,1.1,1499.0
267,10,15.6,8,1,46,2.5,4.0,15,2,0,2.2,467.0
268,7,17.3,8,1,70,1.8,8.0,15,3,6,2.5,1018.0
269,10,15.6,8,1,70,1.8,8.0,18,2,6,2.05,880.0
270,1,13.3,23,1,40,2.9,8.0,27,2,8,1.37,1958.9
271,2,17.3,8,0,89,3.0,16.0,24,0,6,3.2,1549.0
272,4,15.6,8,1,70,1.8,8.0,18,0,1,2.14,735.07
273,10,14.0,39,1,57,2.6,16.0,27,2,6,1.36,2499.0
274,16,15.6,0,1,55,2.5,8.0,11,3,6,2.2,812.0
275,4,15.6,0,1,62,2.7,12.0,15,2,6,2.3,713.07
276,4,17.3,8,1,70,1.8,8.0,20,0,1,2.8,1099.0
277,0,15.6,15,1,70,1.8,8.0,15,3,6,2.2,745.0
278,10,17.3,2,1,36,2.0,4.0,15,2,6,2.8,489.0
279,10,17.3,8,1,70,1.8,8.0,22,3,0,2.8,849.0
280,10,17.3,2,1,62,2.7,6.0,20,3,6,2.8,859.0
281,4,15.6,8,1,36,2.0,4.0,15,0,1,2.25,428.0
282,10,15.6,15,1,47,2.5,8.0,18,3,6,2.5,829.0
283,10,15.6,8,1,46,2.5,6.0,18,2,6,2.2,579.0
284,0,15.6,15,1,70,1.8,8.0,18,3,6,3.0,951.0
285,0,15.6,13,1,62,2.7,12.0,15,2,6,2.15,659.0
286,10,15.6,15,1,62,2.7,8.0,18,2,6,1.95,1097.0
287,2,15.6,8,1,46,2.5,8.0,18,3,6,1.7,977.0
288,10,15.6,15,1,66,2.8,16.0,24,3,6,2.5,1179.0
289,10,15.6,8,1,62,2.7,8.0,15,3,0,2.2,659.01
290,0,15.6,0,1,18,1.5,2.0,3,2,3,2.19,199.0
291,2,17.3,8,1,66,2.8,8.0,15,3,6,3.0,1187.0
292,7,17.3,2,1,36,2.0,8.0,15,2,6,2.54,489.0
293,4,15.6,8,1,66,2.8,8.0,18,3,6,2.0,1829.0
294,10,15.6,8,1,53,1.6,8.0,18,2,6,2.05,739.0
295,10,15.6,15,1,66,2.8,8.0,15,3,6,3.2,1299.0
296,0,15.6,8,1,66,2.8,8.0,18,3,1,2.5,979.0
297,4,17.3,8,1,68,2.9,16.0,18,3,6,3.42,2884.86
298,10,15.6,8,0,0,2.4,6.0,15,0,6,2.4,499.0
299,2,15.6,8,1,62,2.7,16.0,27,3,6,1.63,1468.0
300,2,14.0,0,1,38,2.4,4.0,10,2,6,1.3,509.0
301,2,17.3,8,1,66,2.8,16.0,24,3,6,2.9,2122.0
302,10,17.3,2,1,46,2.5,6.0,15,3,6,2.8,649.0
303,10,15.6,0,1,46,2.5,8.0,22,3,0,2.2,549.0
304,2,15.6,8,1,66,2.8,8.0,20,3,6,2.5,1265.0
